,7.8,3.8,0.2,88.2,11.6
,3.0,2.0,0.1,94.8,5.0
,5.1,2.8,0.0,92.1,7.9
,3.8,1.8,0.0,94.5,5.6
,5.0,2.0,0.1,92.8,7.0
,3.6,1.9,0.0,94.5,5.5
,3.1,1.9,0.3,94.7,5.0
,3.1,1.6,0.0,95.2,4.7
,2.9,1.9,0.0,95.2,4.8
,4.5,2.2,0.1,93.2,6.7
,5.8,1.6,0.0,92.6,7.4
,3.6,2.2,0.0,94.1,5.8
,4.6,3.0,0.0,92.4,7.6
,3.0,2.0,0.0,95.0,5.0
,3.6,2.0,0.3,94.1,5.6
,2.5,2.1,0.0,95.3,4.6
,2.4,2.0,0.3,95.3,4.4
,3.1,2.1,0.0,94.7,5.2
,3.3,1.9,0.0,94.8,5.2
,5.5,1.9,0.3,92.4,7.4
,6.8,2.3,0.0,91.0,9.1
,3.7,1.6,0.1,94.6,5.3
,6.9,2.8,0.0,90.3,9.7
,7.2,3.1,0.0,89.7,10.3
,4.2,1.9,0.1,93.8,6.1
,4.7,2.4,0.0,92.9,7.1
,3.7,2.5,0.1,93.6,6.2
,2.8,1.6,0.0,95.6,4.4
,2.3,1.8,0.0,96.0,4.1
,4.4,2.3,0.1,93.2,6.7
